month,trade,seasonal_index,base_unpaid_hours,modeled_unpaid_scope_hours,assumed_rate_usd,rate_source,modeled_creep_loss_usd,late_pay_factor,late_pay_factor_source,modeled_late_pay_drag_usd,modeled_total_leak_usd,formula
2026-01,copywriting,0.85,2.95,2.5,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",212,0.15,modeled_prior_not_a_survey,32,244,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-02,copywriting,0.95,2.95,2.8,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",238,0.15,modeled_prior_not_a_survey,36,274,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-03,copywriting,1.0,2.95,3.0,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",255,0.15,modeled_prior_not_a_survey,38,293,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-04,copywriting,1.0,2.95,3.0,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",255,0.15,modeled_prior_not_a_survey,38,293,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-05,copywriting,1.05,2.95,3.1,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",264,0.15,modeled_prior_not_a_survey,40,304,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-06,copywriting,1.0,2.95,3.0,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",255,0.15,modeled_prior_not_a_survey,38,293,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-07,copywriting,1.05,2.95,3.1,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",264,0.15,modeled_prior_not_a_survey,40,304,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-08,copywriting,0.9,2.95,2.7,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",230,0.15,modeled_prior_not_a_survey,34,264,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-09,video_edit,1.05,3.59,3.8,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",323,0.2,modeled_prior_not_a_survey,65,388,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-10,video_edit,1.1,3.59,3.9,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",332,0.2,modeled_prior_not_a_survey,66,398,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-11,video_edit,1.15,3.59,4.1,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",348,0.2,modeled_prior_not_a_survey,70,418,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-12,video_edit,0.9,3.59,3.2,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",272,0.2,modeled_prior_not_a_survey,54,326,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-01,video_edit,0.85,3.59,3.1,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",264,0.2,modeled_prior_not_a_survey,53,317,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-02,video_edit,0.95,3.59,3.4,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",289,0.2,modeled_prior_not_a_survey,58,347,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-03,video_edit,1.0,3.59,3.6,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",306,0.2,modeled_prior_not_a_survey,61,367,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-04,video_edit,1.0,3.59,3.6,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",306,0.2,modeled_prior_not_a_survey,61,367,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-05,video_edit,1.05,3.59,3.8,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",323,0.2,modeled_prior_not_a_survey,65,388,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-06,video_edit,1.0,3.59,3.6,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",306,0.2,modeled_prior_not_a_survey,61,367,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-07,video_edit,1.05,3.59,3.8,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",323,0.2,modeled_prior_not_a_survey,65,388,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-08,video_edit,0.9,3.59,3.2,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",272,0.2,modeled_prior_not_a_survey,54,326,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-09,dev_wordpress,1.05,3.75,3.9,65,"TryPros 2026 median, WordPress Development $65/hr",254,0.16,modeled_prior_not_a_survey,41,295,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-10,dev_wordpress,1.1,3.75,4.1,65,"TryPros 2026 median, WordPress Development $65/hr",266,0.16,modeled_prior_not_a_survey,43,309,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-11,dev_wordpress,1.15,3.75,4.3,65,"TryPros 2026 median, WordPress Development $65/hr",280,0.16,modeled_prior_not_a_survey,45,325,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-12,dev_wordpress,0.9,3.75,3.4,65,"TryPros 2026 median, WordPress Development $65/hr",221,0.16,modeled_prior_not_a_survey,35,256,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-01,dev_wordpress,0.85,3.75,3.2,65,"TryPros 2026 median, WordPress Development $65/hr",208,0.16,modeled_prior_not_a_survey,33,241,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-02,dev_wordpress,0.95,3.75,3.6,65,"TryPros 2026 median, WordPress Development $65/hr",234,0.16,modeled_prior_not_a_survey,37,271,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-03,dev_wordpress,1.0,3.75,3.8,65,"TryPros 2026 median, WordPress Development $65/hr",247,0.16,modeled_prior_not_a_survey,40,287,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-04,dev_wordpress,1.0,3.75,3.8,65,"TryPros 2026 median, WordPress Development $65/hr",247,0.16,modeled_prior_not_a_survey,40,287,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-05,dev_wordpress,1.05,3.75,3.9,65,"TryPros 2026 median, WordPress Development $65/hr",254,0.16,modeled_prior_not_a_survey,41,295,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-06,dev_wordpress,1.0,3.75,3.8,65,"TryPros 2026 median, WordPress Development $65/hr",247,0.16,modeled_prior_not_a_survey,40,287,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-07,dev_wordpress,1.05,3.75,3.9,65,"TryPros 2026 median, WordPress Development $65/hr",254,0.16,modeled_prior_not_a_survey,41,295,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-08,dev_wordpress,0.9,3.75,3.4,65,"TryPros 2026 median, WordPress Development $65/hr",221,0.16,modeled_prior_not_a_survey,35,256,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-09,dev_app,1.05,3.89,4.1,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",574,0.14,modeled_prior_not_a_survey,80,654,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-10,dev_app,1.1,3.89,4.3,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",602,0.14,modeled_prior_not_a_survey,84,686,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-11,dev_app,1.15,3.89,4.5,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",630,0.14,modeled_prior_not_a_survey,88,718,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-12,dev_app,0.9,3.89,3.5,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",490,0.14,modeled_prior_not_a_survey,69,559,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-01,dev_app,0.85,3.89,3.3,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",462,0.14,modeled_prior_not_a_survey,65,527,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-02,dev_app,0.95,3.89,3.7,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",518,0.14,modeled_prior_not_a_survey,73,591,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-03,dev_app,1.0,3.89,3.9,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",546,0.14,modeled_prior_not_a_survey,76,622,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-04,dev_app,1.0,3.89,3.9,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",546,0.14,modeled_prior_not_a_survey,76,622,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-05,dev_app,1.05,3.89,4.1,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",574,0.14,modeled_prior_not_a_survey,80,654,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-06,dev_app,1.0,3.89,3.9,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",546,0.14,modeled_prior_not_a_survey,76,622,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-07,dev_app,1.05,3.89,4.1,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",574,0.14,modeled_prior_not_a_survey,80,654,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-08,dev_app,0.9,3.89,3.5,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",490,0.14,modeled_prior_not_a_survey,69,559,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-09,photography,1.05,3.0,3.2,150,"WhatShouldICharge 2026 median, Photographers $150/hr",480,0.22,modeled_prior_not_a_survey,106,586,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-10,photography,1.1,3.0,3.3,150,"WhatShouldICharge 2026 median, Photographers $150/hr",495,0.22,modeled_prior_not_a_survey,109,604,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-11,photography,1.15,3.0,3.4,150,"WhatShouldICharge 2026 median, Photographers $150/hr",510,0.22,modeled_prior_not_a_survey,112,622,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-12,photography,0.9,3.0,2.7,150,"WhatShouldICharge 2026 median, Photographers $150/hr",405,0.22,modeled_prior_not_a_survey,89,494,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-01,photography,0.85,3.0,2.5,150,"WhatShouldICharge 2026 median, Photographers $150/hr",375,0.22,modeled_prior_not_a_survey,82,457,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-02,photography,0.95,3.0,2.8,150,"WhatShouldICharge 2026 median, Photographers $150/hr",420,0.22,modeled_prior_not_a_survey,92,512,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-03,photography,1.0,3.0,3.0,150,"WhatShouldICharge 2026 median, Photographers $150/hr",450,0.22,modeled_prior_not_a_survey,99,549,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-04,photography,1.0,3.0,3.0,150,"WhatShouldICharge 2026 median, Photographers $150/hr",450,0.22,modeled_prior_not_a_survey,99,549,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-05,photography,1.05,3.0,3.2,150,"WhatShouldICharge 2026 median, Photographers $150/hr",480,0.22,modeled_prior_not_a_survey,106,586,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-06,photography,1.0,3.0,3.0,150,"WhatShouldICharge 2026 median, Photographers $150/hr",450,0.22,modeled_prior_not_a_survey,99,549,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-07,photography,1.05,3.0,3.2,150,"WhatShouldICharge 2026 median, Photographers $150/hr",480,0.22,modeled_prior_not_a_survey,106,586,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-08,photography,0.9,3.0,2.7,150,"WhatShouldICharge 2026 median, Photographers $150/hr",405,0.22,modeled_prior_not_a_survey,89,494,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-09,bookkeeping,1.05,2.91,3.1,45,"TryPros 2026 median, Bookkeeping $45/hr",140,0.1,modeled_prior_not_a_survey,14,154,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-10,bookkeeping,1.1,2.91,3.2,45,"TryPros 2026 median, Bookkeeping $45/hr",144,0.1,modeled_prior_not_a_survey,14,158,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-11,bookkeeping,1.15,2.91,3.3,45,"TryPros 2026 median, Bookkeeping $45/hr",148,0.1,modeled_prior_not_a_survey,15,163,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-12,bookkeeping,0.9,2.91,2.6,45,"TryPros 2026 median, Bookkeeping $45/hr",117,0.1,modeled_prior_not_a_survey,12,129,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-01,bookkeeping,0.85,2.91,2.5,45,"TryPros 2026 median, Bookkeeping $45/hr",112,0.1,modeled_prior_not_a_survey,11,123,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-02,bookkeeping,0.95,2.91,2.8,45,"TryPros 2026 median, Bookkeeping $45/hr",126,0.1,modeled_prior_not_a_survey,13,139,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-03,bookkeeping,1.0,2.91,2.9,45,"TryPros 2026 median, Bookkeeping $45/hr",130,0.1,modeled_prior_not_a_survey,13,143,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-04,bookkeeping,1.0,2.91,2.9,45,"TryPros 2026 median, Bookkeeping $45/hr",130,0.1,modeled_prior_not_a_survey,13,143,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-05,bookkeeping,1.05,2.91,3.1,45,"TryPros 2026 median, Bookkeeping $45/hr",140,0.1,modeled_prior_not_a_survey,14,154,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-06,bookkeeping,1.0,2.91,2.9,45,"TryPros 2026 median, Bookkeeping $45/hr",130,0.1,modeled_prior_not_a_survey,13,143,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-07,bookkeeping,1.05,2.91,3.1,45,"TryPros 2026 median, Bookkeeping $45/hr",140,0.1,modeled_prior_not_a_survey,14,154,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2026-08,bookkeeping,0.9,2.91,2.6,45,"TryPros 2026 median, Bookkeeping $45/hr",117,0.1,modeled_prior_not_a_survey,12,129,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-09,ui_ux,1.05,3.59,3.8,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",456,0.11,modeled_prior_not_a_survey,50,506,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
2025-10,ui_ux,1.1,3.59,3.9,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",468,0.11,modeled_prior_not_a_survey,51,519,"unpaid_h=round(0.5*mean(med/high hours)*seasonal_index,1); creep=round(unpaid_h*rate); late=round(creep*late_pay_factor)"
