archetype_id,trade,request_code,request_label,change_type,hours_low,hours_mid,hours_high,rate_usd,rate_source,fee_low_usd,fee_mid_usd,fee_high_usd,date_shift_days,absorb_unpaid_risk,default_move,pause_if_unsigned,fee_formula
SCA-042,copywriting,source_files,Hand over working files not in the license,add,1.5,2.0,2.7,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",128,170,230,0,low,log_only,no,round(hours * rate_usd)
SCA-043,copywriting,unlimited_stock,Buy and retouch extra stock the brief excluded,add,2.6,3.5,4.7,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",221,298,400,2,low,change_order,no,round(hours * rate_usd)
SCA-044,copywriting,on_site_day,Add an on-site day,add,2.4,3.2,4.3,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",204,272,366,2,low,change_order,no,round(hours * rate_usd)
SCA-045,copywriting,training_call,Teach their staff the system,add,1.9,2.5,3.4,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",162,212,289,0,low,log_only,no,round(hours * rate_usd)
SCA-046,copywriting,analytics_setup,Add tracking / events after launch,add,3.0,4.0,5.4,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",255,340,459,2,med,change_order,no,round(hours * rate_usd)
SCA-047,copywriting,seo_pack,On-page SEO not in the original scope,add,3.8,5.0,6.8,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",323,425,578,2,med,change_order,no,round(hours * rate_usd)
SCA-048,copywriting,print_adapt,Adapt the digital work to print sizes,add,3.4,4.5,6.1,85,"WhatShouldICharge 2026 median, Copywriters $85/hr",289,382,518,2,med,change_order,no,round(hours * rate_usd)
SCA-049,video_edit,extra_page,Add one more page / screen,add,2.6,3.5,4.7,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",221,298,400,2,low,change_order,no,round(hours * rate_usd)
SCA-050,video_edit,extra_revision_round,Another full revision round,add,3.0,4.0,5.4,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",255,340,459,2,med,change_order,no,round(hours * rate_usd)
SCA-051,video_edit,rush_48h,Compress remaining work into 48 hours,add,4.5,6.0,8.1,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",382,510,688,-3,med,change_order,yes,round(hours * rate_usd)
SCA-052,video_edit,new_stakeholder_review,Add a second approver mid-stream,add,2.2,3.0,4.1,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",187,255,348,2,low,change_order,no,round(hours * rate_usd)
SCA-053,video_edit,competitor_feature_clone,Match a competitor feature not in the brief,add,7.5,10.0,13.5,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",638,850,1148,8,high,change_order,yes,round(hours * rate_usd)
SCA-054,video_edit,cms_blog,Add a blog / CMS after a static sale,add,6.0,8.0,10.8,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",510,680,918,4,high,change_order,yes,round(hours * rate_usd)
SCA-055,video_edit,auth_login,Add member login / accounts,add,12.0,16.0,21.6,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",1020,1360,1836,8,high,change_order,yes,round(hours * rate_usd)
SCA-056,video_edit,extra_language,Second language of all copy,add,5.2,7.0,9.5,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",442,595,808,4,med,change_order,yes,round(hours * rate_usd)
SCA-057,video_edit,brand_refresh_midjob,New colors/type after design lock,add,4.9,6.5,8.8,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",417,552,748,4,med,change_order,yes,round(hours * rate_usd)
SCA-058,video_edit,source_files,Hand over working files not in the license,add,1.5,2.0,2.7,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",128,170,230,0,low,log_only,no,round(hours * rate_usd)
SCA-059,video_edit,unlimited_stock,Buy and retouch extra stock the brief excluded,add,2.6,3.5,4.7,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",221,298,400,2,low,change_order,no,round(hours * rate_usd)
SCA-060,video_edit,on_site_day,Add an on-site day,add,6.0,8.0,10.8,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",510,680,918,4,high,change_order,yes,round(hours * rate_usd)
SCA-061,video_edit,training_call,Teach their staff the system,add,1.9,2.5,3.4,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",162,212,289,0,low,log_only,no,round(hours * rate_usd)
SCA-062,video_edit,analytics_setup,Add tracking / events after launch,add,3.0,4.0,5.4,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",255,340,459,2,med,change_order,no,round(hours * rate_usd)
SCA-063,video_edit,seo_pack,On-page SEO not in the original scope,add,3.8,5.0,6.8,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",323,425,578,2,med,change_order,no,round(hours * rate_usd)
SCA-064,video_edit,print_adapt,Adapt the digital work to print sizes,add,3.4,4.5,6.1,85,"WhatShouldICharge 2026 median, Video Editors $85/hr",289,382,518,2,med,change_order,no,round(hours * rate_usd)
SCA-065,dev_wordpress,extra_page,Add one more page / screen,add,2.6,3.5,4.7,65,"TryPros 2026 median, WordPress Development $65/hr",169,228,306,2,low,change_order,no,round(hours * rate_usd)
SCA-066,dev_wordpress,extra_revision_round,Another full revision round,add,3.0,4.0,5.4,65,"TryPros 2026 median, WordPress Development $65/hr",195,260,351,2,med,change_order,no,round(hours * rate_usd)
SCA-067,dev_wordpress,rush_48h,Compress remaining work into 48 hours,add,4.5,6.0,8.1,65,"TryPros 2026 median, WordPress Development $65/hr",292,390,526,-3,med,change_order,yes,round(hours * rate_usd)
SCA-068,dev_wordpress,new_stakeholder_review,Add a second approver mid-stream,add,2.2,3.0,4.1,65,"TryPros 2026 median, WordPress Development $65/hr",143,195,266,2,low,change_order,no,round(hours * rate_usd)
SCA-069,dev_wordpress,competitor_feature_clone,Match a competitor feature not in the brief,add,7.5,10.0,13.5,65,"TryPros 2026 median, WordPress Development $65/hr",488,650,878,8,high,change_order,yes,round(hours * rate_usd)
SCA-070,dev_wordpress,cms_blog,Add a blog / CMS after a static sale,add,6.9,9.2,12.4,65,"TryPros 2026 median, WordPress Development $65/hr",448,598,806,4,high,change_order,yes,round(hours * rate_usd)
SCA-071,dev_wordpress,auth_login,Add member login / accounts,add,13.8,18.4,24.8,65,"TryPros 2026 median, WordPress Development $65/hr",897,1196,1612,8,high,change_order,yes,round(hours * rate_usd)
SCA-072,dev_wordpress,extra_language,Second language of all copy,add,5.2,7.0,9.5,65,"TryPros 2026 median, WordPress Development $65/hr",338,455,618,4,med,change_order,yes,round(hours * rate_usd)
SCA-073,dev_wordpress,brand_refresh_midjob,New colors/type after design lock,add,4.9,6.5,8.8,65,"TryPros 2026 median, WordPress Development $65/hr",318,422,572,4,med,change_order,yes,round(hours * rate_usd)
SCA-074,dev_wordpress,source_files,Hand over working files not in the license,add,1.5,2.0,2.7,65,"TryPros 2026 median, WordPress Development $65/hr",98,130,176,0,low,log_only,no,round(hours * rate_usd)
SCA-075,dev_wordpress,unlimited_stock,Buy and retouch extra stock the brief excluded,add,2.6,3.5,4.7,65,"TryPros 2026 median, WordPress Development $65/hr",169,228,306,2,low,change_order,no,round(hours * rate_usd)
SCA-076,dev_wordpress,on_site_day,Add an on-site day,add,6.0,8.0,10.8,65,"TryPros 2026 median, WordPress Development $65/hr",390,520,702,4,high,change_order,yes,round(hours * rate_usd)
SCA-077,dev_wordpress,training_call,Teach their staff the system,add,1.9,2.5,3.4,65,"TryPros 2026 median, WordPress Development $65/hr",124,162,221,0,low,log_only,no,round(hours * rate_usd)
SCA-078,dev_wordpress,analytics_setup,Add tracking / events after launch,add,3.0,4.0,5.4,65,"TryPros 2026 median, WordPress Development $65/hr",195,260,351,2,med,change_order,no,round(hours * rate_usd)
SCA-079,dev_wordpress,seo_pack,On-page SEO not in the original scope,add,3.8,5.0,6.8,65,"TryPros 2026 median, WordPress Development $65/hr",247,325,442,2,med,change_order,no,round(hours * rate_usd)
SCA-080,dev_wordpress,print_adapt,Adapt the digital work to print sizes,add,3.4,4.5,6.1,65,"TryPros 2026 median, WordPress Development $65/hr",221,292,396,2,med,change_order,no,round(hours * rate_usd)
SCA-081,dev_app,extra_page,Add one more page / screen,add,2.6,3.5,4.7,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",364,490,658,2,low,change_order,no,round(hours * rate_usd)
SCA-082,dev_app,extra_revision_round,Another full revision round,add,3.0,4.0,5.4,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",420,560,756,2,med,change_order,no,round(hours * rate_usd)
SCA-083,dev_app,rush_48h,Compress remaining work into 48 hours,add,4.5,6.0,8.1,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",630,840,1134,-3,med,change_order,yes,round(hours * rate_usd)
SCA-084,dev_app,new_stakeholder_review,Add a second approver mid-stream,add,2.2,3.0,4.1,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",308,420,574,2,low,change_order,no,round(hours * rate_usd)
SCA-085,dev_app,competitor_feature_clone,Match a competitor feature not in the brief,add,7.5,10.0,13.5,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",1050,1400,1890,8,high,change_order,yes,round(hours * rate_usd)
SCA-086,dev_app,cms_blog,Add a blog / CMS after a static sale,add,6.9,9.2,12.4,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",966,1288,1736,4,high,change_order,yes,round(hours * rate_usd)
SCA-087,dev_app,auth_login,Add member login / accounts,add,13.8,18.4,24.8,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",1932,2576,3472,8,high,change_order,yes,round(hours * rate_usd)
SCA-088,dev_app,extra_language,Second language of all copy,add,5.2,7.0,9.5,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",728,980,1330,4,med,change_order,yes,round(hours * rate_usd)
SCA-089,dev_app,brand_refresh_midjob,New colors/type after design lock,add,4.9,6.5,8.8,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",686,910,1232,4,med,change_order,yes,round(hours * rate_usd)
SCA-090,dev_app,source_files,Hand over working files not in the license,add,1.5,2.0,2.7,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",210,280,378,0,low,log_only,no,round(hours * rate_usd)
SCA-091,dev_app,unlimited_stock,Buy and retouch extra stock the brief excluded,add,2.6,3.5,4.7,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",364,490,658,2,low,change_order,no,round(hours * rate_usd)
SCA-092,dev_app,on_site_day,Add an on-site day,add,2.4,3.2,4.3,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",336,448,602,2,low,change_order,no,round(hours * rate_usd)
SCA-093,dev_app,training_call,Teach their staff the system,add,1.9,2.5,3.4,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",266,350,476,0,low,log_only,no,round(hours * rate_usd)
SCA-094,dev_app,analytics_setup,Add tracking / events after launch,add,3.0,4.0,5.4,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",420,560,756,2,med,change_order,no,round(hours * rate_usd)
SCA-095,dev_app,seo_pack,On-page SEO not in the original scope,add,3.8,5.0,6.8,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",532,700,952,2,med,change_order,no,round(hours * rate_usd)
SCA-096,dev_app,print_adapt,Adapt the digital work to print sizes,add,1.0,1.3,1.8,140,"WhatShouldICharge 2026 median, Software Developers $140/hr",140,182,252,0,low,log_only,no,round(hours * rate_usd)
SCA-097,photography,extra_page,Add one more page / screen,add,2.6,3.5,4.7,150,"WhatShouldICharge 2026 median, Photographers $150/hr",390,525,705,2,low,change_order,no,round(hours * rate_usd)
SCA-098,photography,extra_revision_round,Another full revision round,add,3.0,4.0,5.4,150,"WhatShouldICharge 2026 median, Photographers $150/hr",450,600,810,2,med,change_order,no,round(hours * rate_usd)
SCA-099,photography,rush_48h,Compress remaining work into 48 hours,add,4.5,6.0,8.1,150,"WhatShouldICharge 2026 median, Photographers $150/hr",675,900,1215,-3,med,change_order,yes,round(hours * rate_usd)
SCA-100,photography,new_stakeholder_review,Add a second approver mid-stream,add,2.2,3.0,4.1,150,"WhatShouldICharge 2026 median, Photographers $150/hr",330,450,615,2,low,change_order,no,round(hours * rate_usd)
SCA-101,photography,competitor_feature_clone,Match a competitor feature not in the brief,add,7.5,10.0,13.5,150,"WhatShouldICharge 2026 median, Photographers $150/hr",1125,1500,2025,8,high,change_order,yes,round(hours * rate_usd)
SCA-102,photography,cms_blog,Add a blog / CMS after a static sale,add,1.8,2.4,3.2,150,"WhatShouldICharge 2026 median, Photographers $150/hr",270,360,480,0,low,log_only,no,round(hours * rate_usd)
SCA-103,photography,auth_login,Add member login / accounts,add,3.0,4.0,5.4,150,"WhatShouldICharge 2026 median, Photographers $150/hr",450,600,810,2,med,change_order,no,round(hours * rate_usd)
SCA-104,photography,extra_language,Second language of all copy,add,5.2,7.0,9.5,150,"WhatShouldICharge 2026 median, Photographers $150/hr",780,1050,1425,4,med,change_order,yes,round(hours * rate_usd)
SCA-105,photography,brand_refresh_midjob,New colors/type after design lock,add,4.9,6.5,8.8,150,"WhatShouldICharge 2026 median, Photographers $150/hr",735,975,1320,4,med,change_order,yes,round(hours * rate_usd)
SCA-106,photography,source_files,Hand over working files not in the license,add,1.5,2.0,2.7,150,"WhatShouldICharge 2026 median, Photographers $150/hr",225,300,405,0,low,log_only,no,round(hours * rate_usd)
SCA-107,photography,unlimited_stock,Buy and retouch extra stock the brief excluded,add,2.6,3.5,4.7,150,"WhatShouldICharge 2026 median, Photographers $150/hr",390,525,705,2,low,change_order,no,round(hours * rate_usd)
SCA-108,photography,on_site_day,Add an on-site day,add,6.0,8.0,10.8,150,"WhatShouldICharge 2026 median, Photographers $150/hr",900,1200,1620,4,high,change_order,yes,round(hours * rate_usd)
SCA-109,photography,training_call,Teach their staff the system,add,1.9,2.5,3.4,150,"WhatShouldICharge 2026 median, Photographers $150/hr",285,375,510,0,low,log_only,no,round(hours * rate_usd)
SCA-110,photography,analytics_setup,Add tracking / events after launch,add,3.0,4.0,5.4,150,"WhatShouldICharge 2026 median, Photographers $150/hr",450,600,810,2,med,change_order,no,round(hours * rate_usd)
SCA-111,photography,seo_pack,On-page SEO not in the original scope,add,1.9,2.5,3.4,150,"WhatShouldICharge 2026 median, Photographers $150/hr",285,375,510,0,low,log_only,no,round(hours * rate_usd)
SCA-112,photography,print_adapt,Adapt the digital work to print sizes,add,3.4,4.5,6.1,150,"WhatShouldICharge 2026 median, Photographers $150/hr",510,675,915,2,med,change_order,no,round(hours * rate_usd)
SCA-113,bookkeeping,extra_page,Add one more page / screen,add,2.6,3.5,4.7,45,"TryPros 2026 median, Bookkeeping $45/hr",117,158,212,2,low,change_order,no,round(hours * rate_usd)
SCA-114,bookkeeping,extra_revision_round,Another full revision round,add,3.0,4.0,5.4,45,"TryPros 2026 median, Bookkeeping $45/hr",135,180,243,2,med,change_order,no,round(hours * rate_usd)
SCA-115,bookkeeping,rush_48h,Compress remaining work into 48 hours,add,4.5,6.0,8.1,45,"TryPros 2026 median, Bookkeeping $45/hr",202,270,364,-3,med,change_order,yes,round(hours * rate_usd)
SCA-116,bookkeeping,new_stakeholder_review,Add a second approver mid-stream,add,2.2,3.0,4.1,45,"TryPros 2026 median, Bookkeeping $45/hr",99,135,184,2,low,change_order,no,round(hours * rate_usd)
SCA-117,bookkeeping,competitor_feature_clone,Match a competitor feature not in the brief,add,7.5,10.0,13.5,45,"TryPros 2026 median, Bookkeeping $45/hr",338,450,608,8,high,change_order,yes,round(hours * rate_usd)
SCA-118,bookkeeping,cms_blog,Add a blog / CMS after a static sale,add,1.8,2.4,3.2,45,"TryPros 2026 median, Bookkeeping $45/hr",81,108,144,0,low,log_only,no,round(hours * rate_usd)
SCA-119,bookkeeping,auth_login,Add member login / accounts,add,3.0,4.0,5.4,45,"TryPros 2026 median, Bookkeeping $45/hr",135,180,243,2,med,change_order,no,round(hours * rate_usd)
SCA-120,bookkeeping,extra_language,Second language of all copy,add,5.2,7.0,9.5,45,"TryPros 2026 median, Bookkeeping $45/hr",234,315,428,4,med,change_order,yes,round(hours * rate_usd)
SCA-121,bookkeeping,brand_refresh_midjob,New colors/type after design lock,add,4.9,6.5,8.8,45,"TryPros 2026 median, Bookkeeping $45/hr",221,292,396,4,med,change_order,yes,round(hours * rate_usd)
SCA-122,bookkeeping,source_files,Hand over working files not in the license,add,1.5,2.0,2.7,45,"TryPros 2026 median, Bookkeeping $45/hr",68,90,122,0,low,log_only,no,round(hours * rate_usd)
SCA-123,bookkeeping,unlimited_stock,Buy and retouch extra stock the brief excluded,add,2.6,3.5,4.7,45,"TryPros 2026 median, Bookkeeping $45/hr",117,158,212,2,low,change_order,no,round(hours * rate_usd)
SCA-124,bookkeeping,on_site_day,Add an on-site day,add,2.4,3.2,4.3,45,"TryPros 2026 median, Bookkeeping $45/hr",108,144,194,2,low,change_order,no,round(hours * rate_usd)
SCA-125,bookkeeping,training_call,Teach their staff the system,add,1.9,2.5,3.4,45,"TryPros 2026 median, Bookkeeping $45/hr",86,112,153,0,low,log_only,no,round(hours * rate_usd)
SCA-126,bookkeeping,analytics_setup,Add tracking / events after launch,add,3.0,4.0,5.4,45,"TryPros 2026 median, Bookkeeping $45/hr",135,180,243,2,med,change_order,no,round(hours * rate_usd)
SCA-127,bookkeeping,seo_pack,On-page SEO not in the original scope,add,3.8,5.0,6.8,45,"TryPros 2026 median, Bookkeeping $45/hr",171,225,306,2,med,change_order,no,round(hours * rate_usd)
SCA-128,bookkeeping,print_adapt,Adapt the digital work to print sizes,add,1.0,1.3,1.8,45,"TryPros 2026 median, Bookkeeping $45/hr",45,58,81,0,low,log_only,no,round(hours * rate_usd)
SCA-129,ui_ux,extra_page,Add one more page / screen,add,2.6,3.5,4.7,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",312,420,564,2,low,change_order,no,round(hours * rate_usd)
SCA-130,ui_ux,extra_revision_round,Another full revision round,add,3.0,4.0,5.4,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",360,480,648,2,med,change_order,no,round(hours * rate_usd)
SCA-131,ui_ux,rush_48h,Compress remaining work into 48 hours,add,4.5,6.0,8.1,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",540,720,972,-3,med,change_order,yes,round(hours * rate_usd)
SCA-132,ui_ux,new_stakeholder_review,Add a second approver mid-stream,add,2.2,3.0,4.1,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",264,360,492,2,low,change_order,no,round(hours * rate_usd)
SCA-133,ui_ux,competitor_feature_clone,Match a competitor feature not in the brief,add,7.5,10.0,13.5,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",900,1200,1620,8,high,change_order,yes,round(hours * rate_usd)
SCA-134,ui_ux,cms_blog,Add a blog / CMS after a static sale,add,6.0,8.0,10.8,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",720,960,1296,4,high,change_order,yes,round(hours * rate_usd)
SCA-135,ui_ux,auth_login,Add member login / accounts,add,12.0,16.0,21.6,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",1440,1920,2592,8,high,change_order,yes,round(hours * rate_usd)
SCA-136,ui_ux,extra_language,Second language of all copy,add,5.2,7.0,9.5,120,"WhatShouldICharge 2026 median, UI/UX Designers $120/hr",624,840,1140,4,med,change_order,yes,round(hours * rate_usd)
